ID,IS_ACTIVE,TRANSLATION_SET_ID,IS_CORE,ARTIST_ID,PROJECT_ID,GAID_TYPE_CODE,GAID_TYPE,GAID,CATEGORY_CODE,CATEGORY,TYPE_CODE,TYPE,SUB_TYPE_CODE,SUB_TYPE,COUNTRY_OF_CREATION_CODE,COUNTRY_OF_CREATION,CREATION_DATE,ESTIMATED_PUBLIC_DOMAIN_DATE,MAJOR_GENRE_CODE,MAJOR_GENRE,MINOR_GENRE_CODE,MINOR_GENRE,EXPLICIT_CODE,NON_STANDARD_GENRE,EXPLICIT_RATING,IS_AUTO_CREATE_PRODUCT,IS_THIRD_PARTY_OWNED_REP,IS_COPYRIGHT_LIABILITY,IS_SELLABLE_AS_TRACK,IS_MUSICAL_WORK_BASED,SECURITY_GROUP_ID,PLAY_LENGTH,EDIT_TYPE_CODE,EDIT_TYPE,PRIMARY_LYRICS_LANGUAGE_CODE,PRIMARY_LYRICS_LANGUAGE,COUNTRY_OF_RECORDING_CODE,COUNTRY_OF_RECORDING,MASTERING_LOCATION,IS_INSTRUMENTAL,IS_ARCHIVED,COLOR_DOMAIN_CODE,COLOR_DOMAIN,ARTIST_DISPLAY_TITLE,TITLE,DISPLAY_TITLE,VERSION,VERSION_DESCRIPTION,WORK_DISPLAY_TITLE,SHORT_SYNOPSIS,LONG_SYNOPSIS,KEYWORDS,OCCASION_OR_EVENT,PERFORMANCE_VENUE,TRANSCRIPT_OR_LYRICS,ORCHESTRA_DISPLAY_NAME,TREATMENT,CAPTION,CREATION_LOCATON,GROUP_CODE_OR_COLLECTION,ISRC,NSRA,DUMMY_ASSET_ID,P_CREDIT,WW_REPERTOIRE_OWNER_ID,WW_REPERTOIRE_OWNER_COMPANYNUM,WW_REPERTOIRE_OWNER,PLACE_OF_PUBLICATION,AVAILABLE_IN_CAR,PLATFORM,UNASSIGNED_SALE,SOR_FIN_PROJ_ID,FINANCIAL_COMPANY,FINANCIAL_LABEL,PROJ_ACCTG_ELEMENT_1,CREATED_BY,CREATED_ON,LAST_MODIFIED_BY,LAST_MODIFIED_ON,IS_DELETED,PRIMARY_PRODUCT_ID,P_YEAR,IS_ORIGINAL,IS_METADATA_COMPLETE,IS_DMD_LOCKED,INTERNAL_COMMENTS,PMO_ID,PMO_CODE,PMO_TITLE,METADATA_LANGUAGE_CODE,METADATA_LANGUAGE,COPYRIGHT_HOLDER_TYPE_CODE,COPYRIGHT_HOLDER_TYPE,COUNTRY_OF_COMMISSIONING_CODE,COUNTRY_OF_COMMISSIONING,AUDIO_PRESENTATION_CODE,AUDIO_PRESENTATION,SUCCESSOR_STATUS_CODE,SUCCESSOR_STATUS,IS_PARTICIPANT_COMPLETE,ADDITIONAL_MAIN_ARTISTS,ORIGINAL_GLOBAL_RELEASE_DATE,IS_CONFIDENTIAL,MDM_TITLE_CLEANED,MDM_ATTRIBUTES_CLEANED,MDM_ARTIST_CLEANED,MDM_ASSET_PARTICIPANT_CLEANED,MDM_ASSET_WORK_PARTICIP_CLEAN,MDM_CREDITS_CLEANED,MDM_CLEANED,MDM_RLS_DATE_CLEANED,CONSUMER_OGRD,MDM_NON_OWNED,MDM_OUT_OF_SCOPE,IS_SPLIT_OWNED
9695719,Y,501,Y,2247719,4403865,243,ISRC,QZ93L1821800,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2698,Adult Contemporary,2968,Hip Hop,1216,,Parental Advisory,N,Y,,N,N,1000011,000:02:31,,,4382,English,,,,,,,,DRAZI,Cuttin the Tie,Cuttin the Tie,,,,,,,,,,,,,,,QZ93L1821800,,,2018 Babylon Records,1863938,2191-LV2,Level,,,,,,,,,1013882,2022-09-28 04:53:51.000,1015082,2024-05-11 01:33:56.000,N,11272272,2018,Y,Y,Y,,1864350,2204,Level,1008827,English,,,,,,,,,N,,2018-10-25 00:00:00.000,N,,,,,,,,,2018-10-25 00:00:00.000,N,N,N
9695720,Y,501,Y,2247719,4403865,243,ISRC,QZ93L1821798,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2698,Adult Contemporary,2968,Hip Hop,1216,,Parental Advisory,N,Y,,N,N,1000011,000:01:03,,,4382,English,,,,,,,,DRAZI,Radar,Radar,,,,,,,,,,,,,,,QZ93L1821798,,,2018 Babylon Records,1863938,2191-LV2,Level,,,,,,,,,1013882,2022-09-28 04:53:51.000,1015082,2024-05-11 01:33:56.000,N,11272270,2018,Y,Y,Y,,1864350,2204,Level,1008827,English,,,,,,,,,N,,2018-10-25 00:00:00.000,N,,,,,,,,,2018-10-25 00:00:00.000,N,N,N
9695721,Y,501,Y,2205539,4325432,243,ISRC,QZ93L2107143,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2719,Electronica,2993,New Age,1219,,Not Explicit,N,Y,,N,N,1000011,000:03:50,,,4382,English,,,,,,,,Mi-Zu,Blurry Skies,Blurry Skies,,,,,,,,,,,,,,,QZ93L2107143,,,2021 Dream Eaters Club,1863938,2191-LV2,Level,,,,,,,,,1013882,2022-09-28 04:53:52.000,1015082,2024-05-11 01:33:56.000,N,11272275,2021,Y,Y,Y,,1864350,2204,Level,1008827,English,,,,,,,,,N,,2021-07-09 00:00:00.000,N,,,,,,,,,2021-07-09 00:00:00.000,N,N,N
9695722,Y,501,Y,2247724,4403866,243,ISRC,QZ93L2118054,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2698,Adult Contemporary,3060,R&B,1219,,Not Explicit,N,Y,,N,N,1000011,000:02:57,,,4382,English,,,,,,,,Via DeRoche,Take Care,Take Care,,,,,,,,,,,,,,,QZ93L2118054,,,2021 Via DeRoche,1863938,2191-LV2,Level,,,,,,,,,1013882,2022-09-28 04:53:52.000,1015082,2024-05-11 01:33:56.000,N,11272277,2021,Y,Y,Y,,1864350,2204,Level,1008827,English,,,,,,,,,N,,2021-06-18 00:00:00.000,N,,,,,,,,,2021-06-18 00:00:00.000,N,N,N
9695723,Y,501,Y,2247492,4403202,243,ISRC,QZ93L2117303,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2751,Pop,2933,Pop,1219,,Not Explicit,N,Y,,N,N,1000011,000:03:53,,,4382,English,,,,,,,,Indiivia,Eagle,Eagle,,,,,,,,,,,,,,,QZ93L2117303,,,2021 Indiivia,1863938,2191-LV2,Level,,,,,,,,,1013882,2022-09-28 04:53:52.000,1015082,2024-05-11 01:33:56.000,N,11272279,2021,Y,Y,Y,,1864350,2204,Level,1008827,English,,,,,,,,,N,,2021-05-27 00:00:00.000,N,,,,,,,,,2021-05-27 00:00:00.000,N,N,N
9695724,Y,501,Y,2247722,4403867,243,ISRC,QZ93L1957460,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2698,Adult Contemporary,2968,Hip Hop,1216,,Parental Advisory,N,Y,,N,N,1000011,000:02:41,,,4382,English,,,,,,,,Matthew David,Love Like U,Love Like U,,,,,,,,,,,,,,,QZ93L1957460,,,2019 Matthew David,1863938,2191-LV2,Level,,,,,,,,,1013882,2022-09-28 04:53:52.000,1015082,2024-05-11 01:33:56.000,N,11272283,2019,Y,Y,Y,,1864350,2204,Level,1008827,English,,,,,,,,,N,,2019-08-26 00:00:00.000,N,,,,,,,,,2019-08-26 00:00:00.000,N,N,N
9695725,Y,501,Y,2216590,4344960,243,ISRC,QZ93L1971358,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2714,Dance,2775,Acid House,1219,,Not Explicit,N,Y,,N,N,1000011,000:05:00,,,4382,English,,,,,,,,Jilt Music,Hot for You,Hot for You,,,,,,,,,,,,,,,QZ93L1971358,,,2019 Jilt Music,1863938,2191-LV2,Level,,,,,,,,,1013882,2022-09-28 04:53:52.000,1015082,2024-05-11 01:33:56.000,N,11272281,2019,Y,Y,Y,,1864350,2204,Level,1008827,English,,,,,,,,,N,,2019-11-21 00:00:00.000,N,,,,,,,,,2019-11-21 00:00:00.000,N,N,N
9695726,Y,501,Y,2247722,4403867,243,ISRC,QZ93L1957461,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2698,Adult Contemporary,2968,Hip Hop,1216,,Parental Advisory,N,Y,,N,N,1000011,000:02:59,,,4382,English,,,,,,,,Matthew David,Down 4 Me,Down 4 Me,,,,,,,,,,,,,,,QZ93L1957461,,,2019 Matthew David,1863938,2191-LV2,Level,,,,,,,,,1013882,2022-09-28 04:53:52.000,1015082,2024-05-11 01:33:56.000,N,11272285,2019,Y,Y,Y,,1864350,2204,Level,1008827,English,,,,,,,,,N,,2019-08-26 00:00:00.000,N,,,,,,,,,2019-08-26 00:00:00.000,N,N,N
9695727,Y,501,Y,2247722,4403867,243,ISRC,QZ93L1957462,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2698,Adult Contemporary,2968,Hip Hop,1216,,Parental Advisory,N,Y,,N,N,1000011,000:02:51,,,4382,English,,,,,,,,Matthew David,Save My Soul,Save My Soul,,,,,,,,,,,,,,,QZ93L1957462,,,2019 Matthew David,1863938,2191-LV2,Level,,,,,,,,,1013882,2022-09-28 04:53:52.000,1015082,2024-05-11 01:33:56.000,N,11272286,2019,Y,Y,Y,,1864350,2204,Level,1008827,English,,,,,,,,,N,,2019-08-26 00:00:00.000,N,,,,,,,,,2019-08-26 00:00:00.000,N,N,N
9695728,Y,501,Y,2247722,4403867,243,ISRC,QZ93L1957459,247,Audio,255,Sound Recording (Music Work),1237,Sound Recording,,,,,2698,Adult Contemporary,2968,Hip Hop,1216,,Parental Advisory,N,Y,,N,N,1000011,000:02:46,,,4382,English,,,,,,,,Matthew David,Punkstar,Punkstar,,,,,,,,,,,,,,,QZ93L1957459,,,2019 Matthew David,1863938,2191-LV2,Level,,,,,,,,,1013882,2022-09-28 04:53:53.000,1015082,2024-05-11 01:33:57.000,N,11272284,2019,Y,Y,Y,,1864350,2204,Level,1008827,English,,,,,,,,,N,,2019-08-26 00:00:00.000,N,,,,,,,,,2019-08-26 00:00:00.000,N,N,N
