Title,Title,Title,Title,,Lyric Video,Live Video,Music Video
*Subtitled*,*Music Video*,*Lyric*,*Live at*,,%Lyric Video,Live at, आधिकारिक वीडियो
*Subs*,*Official Video*,*Letra*,*Live From*,,歌词视频,Live From, అధికారిక వీడియో
*Vietsub*,*Video Oficiel*,*Lyriikkavideo*,*Live in*,,गीत वीडियो,Live in, अधिकृत व्हिडिओ
*Engsub*,*MV*,*Lyrics*,*Acoustic*,,Video con letra,Acoustic, ಅಧಿಕೃತ ವಿಡಿಯೋ
*Karaoke*,*Offizielles Video*,*Letras*,*Directo*,,Vidéo avec paroles,Directo, அதிகாரப்பூர்வ வீடியோ
*Visualizer*,*[VIDEO]*,*Officiel Lyrikvideo*,*Ao vivo*,,فيديو كلمات الأغنية,Ao vivo, ഔദ്യോഗിക വീഡിയോ
*Visualiser*,*videoclip oficial*,*Lyric Video*,*Session*,,গানের কথা সহ ভিডিও,Session, Επίσημο βίντεο
*Official Visual*,*Clipe Oficial*,*歌词视频*,*Acústico*,,Клип с текстом песни,Acústico, فيديو موسيقي
*Audio*,*Video Oficial*,*गीत वीडियो*,*En Vivo*,,Vídeo com letra,En Vivo, فيديو موسيقي
*Instrumental*,*VideoClip*,*Video con letra*,*Live @*,,گیت ویڈیو / نغمہ ویڈیو,Live @, فيديو رسمي
*Audio Officiel*,*(Video)*,*Vidéo avec paroles*,*Sessions*,,Video lirik,Sessions, فيديو رسمي
*Full Album*,*(Clip Officiel)*,*فيديو كلمات الأغنية*,*Live Video*,,Liedtext-Video,Live Video, 공식 비디오
*Full Album Stream*,*Clip Officiel*,*গানের কথা সহ ভিডিও*,*Official Live Video*,,歌詞ビデオ,Official Live Video, 官方视频
*Official Stream*,*Vídeo Oficial*,*Клип с текстом песни*,*Officiel Live Video*,,Video ya maneno ya wimbo,Officiel Live Video, இசை வீடியோ
*Áudio Oficial*,*Video clip*,*Vídeo com letra*,*Performance*,,गीताचा व्हिडिओ,Performance, মিউজিক ভিডিও
*Vinyl Video*,*Virallinen musiikkivideo*,*گیت ویڈیو / نغمہ ویڈیو*,*vidéo acoustique*,,లిరిక్ వీడియో,vidéo acoustique, มิวสิควิดีโอ
*Aúdio*,*Vidéo Officielle*,*Video lirik*,*Acoustique*,,Şarkı sözü videosu,Acoustique, Μουσικό βίντεο
