Live Performance,Music Video,Lyric Video,Promotional Video,Visualizer,Still Image w/ Audio,Karaoke,Vertical Video,YouTube Short (Hardcoded),Parenthesis Logic (Hardcoded)
(live,(clip officiel),bidiyon kalmomin waka,#0,görselleştirici,[static],engsub,dikey video,#shorts,(Year in Parenthesis)
(live),(video),fiidiyow erayada heesta,#1,official visual,albúm completo,instrumental,patayong video,#short,
[live,[video],fídíò ọrọ orin,#10,trình hiển thị,audio,karaoke,vertical video,,
acoustic,adhikārika vīḍiyō,kanema wokhala ndi mawu a nyimbo,#2,vinyl video,audio officiel,subs,vertikales video,,
acoustique,adhikṛt vhiḍiyo,lahatsary misy tononkira,#3,visualiser,audio oficial,subtitled,video dọc,,
acustico,adhikṛta viḍiyō,letra,#4,visualiseur,audio resmi,videoke,video vertical,,
acústico,atikārappūrvam vīṭiyō,letras,#5,visualisierer,audio ufficiale,vietsub,video verticale,,
akustično,audyōgika viḍiyō,liedtekstvideo,#6,visualizador,aúdio,كاريوكي,video vertikal,,
ao vivo,clip officiel,liedtext-video,#7,visualizer,club mix,कराओके,vidéo verticale,,
clip officiel - live,clip vidéo / vidéoclip,liriko nga video,#8,visualizzatore,cover art,カラオケ,вертикальное видео,,
concierto,clipe oficial,liriko video / video ng kanta lyrics,#9,vizualizer,extended mix,노래방,فيديو عمودي,,
directo,epísimo víndeo,lyric,about the song,визуализатор,full album,,वर्टिकल वीडियो,,
edc,fidyu musiqi,lyric video,about the track,متخيل,full album stream,,วิดีโอแนวตั้ง,,
en directo,fidyu rasmi,lyrics,bailes,विज़ुअलाइज़र,instrumental,,縦型動画,,
en la radio,gongsik bidio,lyriikkavideo,bastidores,โปรแกรมแสดงภาพ,official audio,,세로 비디오,,
en vivo,guānfāng shìpín,mahnı sözləri videosu,behind the,ビジュアライザー,official stream,,,,
festival,hivatalos videó,officiel lyrikvideo,behind the scenes,비주얼라이저,offizielle single,,,,
live,isai vidiyo,qo‘shiq matni videosi,behind-the-scenes,,offizieller albumplayer,,,,
live @,miujik video,video con letra,blog,,offizielles audio,,,,
live at,miwsik-widīō,video con testo,bts,,offizielles medley,,,,
live au,mousikó vínteo,video jeung lirik,capítulo,,opisyal na audio,,,,
live from,music video,video lirik,challenge,,original mix,,,,
live in,musical video,video lirycs,chat,,resmi ses,,,,
live on,musikvideo,video lời bài hát,chats,,still image w/ audio,,,,
live performance,muziekvideo,video ya maneno ya wimbo,choreography,,áudio oficial,,,,
live video,muzikalen videoklip,videoclip cu versuri,chorégraphie,,âm thanh chính thức,,,,
official live video,muzychne video,vidio nke okwu abụ,commentary,,официальное аудио,,,,
officiel live video,muzykal'noye video,vidéo avec paroles,commented,,الصوت الرسمي,,,,
officiel live-video,mv,viidiyoo jechoota sirba,conversation,,आधिकारिक ऑडियो,,,,
performance,myujikbidio,vídeo com letra,coreografia,,เสียงอย่างเป็นทางการ,,,,
piano version,myūjik vidiyo,vîdyo bi gotinên stranê,coreografía,,公式オーディオ,,,,
session,myūjikku bideo,wideo z tekstem piosenki,coulisses,,공식 오디오,,,,
sessions,müzik videosu,şarkı sözü videosu,detrás de cámaras,,,,,,
songkick live,nuevo video,βίντεο με στίχους,di balik layar,,,,,,
unplugged,official musiv video,видео са текстом песме,dietro le quinte,,,,,,
versión acústica,official video,відео з текстом пісні,docu,,,,,,
video live,officiel musikvideo,клип с текстом песни,documantation,,,,,,
vidéo acoustique,officiell video,فيديو كلمات الأغنية,documental,,,,,,
คอนเสิร์ต,officiële video,ویدیو با متن ترانه,documentary,,,,,,
,offizielles musikvideo,گيت وڊيو (geet video),engsub,,,,,,
,offizielles video,گیت ویڈیو / نغمہ ویڈیو,entrevista,,,,,,
,oficiální video,गीत भिडियो (geet video),ep 0,,,,,,
,oficjalny teledysk,गीत वीडियो,ep 1,,,,,,
,ofisharu bideo,गीताचा व्हिडिओ,ep 10,,,,,,
,ofitsial'noye video,গানের কথা সহ ভিডিও,ep 2,,,,,,
,ofitsialen videoklip,ગીત વિડિઓ,ep 3,,,,,,
,ofitsiine video,பாடல் வரிகளுடன் வீடியோ,ep 4,,,,,,
,ophisiyāl bhiḍiō,లిరిక్ వీడియో,ep 5,,,,,,
,resmi video,ಹಾಡಿನ ಪದಗಳ ವಿಡಿಯೋ,ep 6,,,,,,
,sangeet video,പാട്ടിന്റെ വരികളുള്ള വീഡിയോ,ep 8,,,,,,
,sangit vidiyo,ගීත පද විඩීයෝව,ep 9,,,,,,
,saṅgīta viḍiyō,วิดีโอเนื้อเพลง,ep.,,,,,,
,saṅgīta vīḍiyo,သီချင်းစာသားဗီဒီယို,episode,,,,,,
,teledysk,የዘፈኑ ቃላት ቪዲዮ,freestyle,,,,,,
,titre officie,វីដេអូបទចម្រៀង,hinter den kulissen,,,,,,
,video ca nhạc,歌詞ビデオ,hậu trường,,,,,,
,video chính thức,歌词视频,interview,,,,,,
,video clip,가사 비디오,intervista,,,,,,
,video musical,,kamera arkası,,,,,,
,video musicale,,karaoke,,,,,,
,video musik,,kausi,,,,,,
,video official,,koreografi,,,,,,
,video oficia,,live stream,,,,,,
,video oficial,,making of,,,,,,
,video oficiel,,making-of,,,,,,
,video resmi,,mini-doc,,,,,,
,video ufficiale,,panayam,,,,,,
,videoclip,,part 0,,,,,,
,videoclip oficial,,part 1,,,,,,
,videoclipe,,part 10,,,,,,
,videoklip,,part 2,,,,,,
,videooficial,,part 3,,,,,,
,videóklip,,part 4,,,,,,
,vidéo officielle,,part 5,,,,,,
,virallinen musiikkivideo,,part 6,,,,,,
,vídeo de música,,part 7,,,,,,
,vídeo oficial,,part 8,,,,,,
,widīō yāng pen thāng kān,,part 9,,,,,,
,yīnyuè shìpín,,part0,,,,,,
,zenei videó,,part1,,,,,,
,ādhikārik vīḍiyo,,part10,,,,,,
,επίσημο βίντεο,,part2,,,,,,
,μουσικό βίντεο,,part3,,,,,,
,музикален видеоклип,,part4,,,,,,
,музичне відео,,part5,,,,,,
,музыкальное видео,,part6,,,,,,
,официален видеоклип,,part7,,,,,,
,официальное видео,,part8,,,,,,
,офіційне відео,,part9,,,,,,
,премьера клипа,,parte 0,,,,,,
,آفیشل ویڈیو,,parte 1,,,,,,
,فيديو رسمي,,parte 10,,,,,,
,فيديو موسيقي,,parte 2,,,,,,
,میوزک ویڈیو,,parte 3,,,,,,
,अधिकृत व्हिडिओ,,parte 4,,,,,,
,आधिकारिक वीडियो,,parte 5,,,,,,
,संगीत वीडियो,,parte 6,,,,,,
,संगीत व्हिडिओ,,parte 7,,,,,,
,অফিসিয়াল ভিডিও,,parte 8,,,,,,
,মিউজিক ভিডিও,,parte 9,,,,,,
,அதிகாரப்பூர்வ வீடியோ,,parte0,,,,,,
,இசை வீடியோ,,parte1,,,,,,
